timestamps population node_ids
1923.582 v1 219
1856.413 v1 219
514.764 v1 219
534.117 v1 219
589.181 v1 219
627.8 v1 219
665.549 v1 219
679.122 v1 219
705.858 v1 219
718.921 v1 219
773.19 v1 219
826.672 v1 219
862.321 v1 219
930.512 v1 219
953.835 v1 219
965.683 v1 219
979.316 v1 219
1505.081 v1 219
1519.213 v1 219
1570.753 v1 219
1598.681 v1 219
1620.402 v1 219
1662.707 v1 219
1680.004 v1 219
1699.532 v1 219
1710.041 v1 219
1728.186 v1 219
1757.918 v1 219
1813.113 v1 219
1895.144 v1 219
345.53 v1 219
2905.383 v1 219
2956.174 v1 219
1678.984 v1 220
1701.429 v1 220
1723.025 v1 220
1759.714 v1 220
1852.601 v1 220
1889.393 v1 220
1921.319 v1 220
1945.257 v1 220
1975.549 v1 220
1989.765 v1 220
2009.064 v1 220
2082.89 v1 220
2115.052 v1 220
2188.545 v1 220
2207.362 v1 220
2219.939 v1 220
2236.319 v1 220
2353.923 v1 220
2401.423 v1 220
2435.591 v1 220
2446.633 v1 220
2459.459 v1 220
2475.808 v1 220
2546.207 v1 220
2574.865 v1 220
2610.713 v1 220
2642.725 v1 220
1658.242 v1 220
2943.918 v1 219
1613.675 v1 220
1569.262 v1 220
2965.916 v1 219
2979.457 v1 219
64.521 v1 220
82.694 v1 220
125.153 v1 220
231.398 v1 220
252.439 v1 220
293.072 v1 220
342.272 v1 220
374.396 v1 220
500.226 v1 220
521.95 v1 220
539.799 v1 220
574.878 v1 220
608.372 v1 220
629.116 v1 220
664.464 v1 220
682.416 v1 220
705.342 v1 220
716.102 v1 220
761.364 v1 220
828.312 v1 220
867.483 v1 220
958.664 v1 220
972.633 v1 220
1504.732 v1 220
1515.979 v1 220
1591.454 v1 220
1682.018 v1 226
1698.696 v1 226
1713.393 v1 226
723.573 v1 232
740.482 v1 232
756.426 v1 232
771.606 v1 232
784.846 v1 232
803.793 v1 232
833.375 v1 232
851.026 v1 232
873.92 v1 232
892.215 v1 232
956.647 v1 232
967.75 v1 232
713.297 v1 232
979.657 v1 232
1505.215 v1 232
1513.859 v1 232
1524.548 v1 232
1538.711 v1 232
1554.518 v1 232
1568.845 v1 232
1581.708 v1 232
1593.016 v1 232
1604.677 v1 232
1616.519 v1 232
1627.685 v1 232
1639.34 v1 232
997.888 v1 232
704.965 v1 232
688.944 v1 232
675.894 v1 232
2965.953 v1 231
2975.809 v1 231
2988.711 v1 231
65.498 v1 232
80.938 v1 232
106.955 v1 232
137.129 v1 232
160.147 v1 232
236.993 v1 232
251.988 v1 232
270.16 v1 232
337.781 v1 232
365.051 v1 232
500.91 v1 232
518.084 v1 232
527.862 v1 232
536.462 v1 232
545.68 v1 232
557.734 v1 232
576.794 v1 232
591.178 v1 232
602.485 v1 232
615.033 v1 232
625.422 v1 232
634.51 v1 232
644.908 v1 232
661.155 v1 232
1658.185 v1 232
1674.991 v1 232
1686.794 v1 232
1700.066 v1 232
2223.4 v1 232
2231.553 v1 232
2241.182 v1 232
2260.478 v1 232
2273.63 v1 232
2290.462 v1 232
2322.743 v1 232
2343.462 v1 232
2429.247 v1 232
2445.137 v1 232
2454.399 v1 232
2462.384 v1 232
2471.56 v1 232
2482.892 v1 232
2531.241 v1 232
2566.074 v1 232
2577.958 v1 232
2596.048 v1 232
2610.695 v1 232
2628.951 v1 232
2645.718 v1 232
2661.652 v1 232
2687.426 v1 232
2712.325 v1 232
2724.773 v1 232
2734.104 v1 232
2745.062 v1 232
2214.159 v1 232
2956.398 v1 231
2201.618 v1 232
2157.004 v1 232
1709.95 v1 232
1720.67 v1 232
1729.724 v1 232
1745.524 v1 232
1757.716 v1 232
1766.537 v1 232
1777.695 v1 232
1793.72 v1 232
1814.574 v1 232
1855.194 v1 232
1869.222 v1 232
1883.094 v1 232
1899.638 v1 232
1917.59 v1 232
1938.879 v1 232
1951.312 v1 232
1964.28 v1 232
1979.748 v1 232
1990.849 v1 232
2002.363 v1 232
2012.618 v1 232
2050.653 v1 232
2081.214 v1 232
2096.127 v1 232
2113.118 v1 232
2124.439 v1 232
2143.671 v1 232
2179.671 v1 232
2942.856 v1 231
2912.402 v1 231
2893.069 v1 231
907.043 v1 231
960.029 v1 231
969.157 v1 231
980.991 v1 231
1505.755 v1 231
1513.188 v1 231
1522.733 v1 231
1534.284 v1 231
1556.269 v1 231
1572.405 v1 231
1583.888 v1 231
1594.569 v1 231
1603.369 v1 231
1610.987 v1 231
1620.18 v1 231
1631.824 v1 231
1646.114 v1 231
1666.423 v1 231
1679.999 v1 231
1698.316 v1 231
1707.389 v1 231
1720.105 v1 231
1730.352 v1 231
1747.447 v1 231
1760.404 v1 231
1770.156 v1 231
1781.305 v1 231
880.494 v1 231
1799.626 v1 231
870.831 v1 231
846.734 v1 231
361.785 v1 231
457.38 v1 231
490.99 v1 231
511.352 v1 231
521.641 v1 231
534.169 v1 231
543.123 v1 231
551.694 v1 231
562.671 v1 231
574.146 v1 231
587.806 v1 231
598.641 v1 231
613.792 v1 231
626.624 v1 231
635.804 v1 231
649.446 v1 231
666.896 v1 231
680.259 v1 231
700.099 v1 231
711.746 v1 231
720.435 v1 231
734.933 v1 231
752.893 v1 231
767.615 v1 231
779.83 v1 231
821.188 v1 231
834.676 v1 231
859.66 v1 231
2755.224 v1 232
1818.577 v1 231
1859.832 v1 231
2402.846 v1 231
2439.199 v1 231
2448.032 v1 231
2456.883 v1 231
2465.035 v1 231
2473.252 v1 231
2482.509 v1 231
2537.828 v1 231
2559.705 v1 231
2570.951 v1 231
2581.237 v1 231
2603.008 v1 231
2616.979 v1 231
2634.528 v1 231
2645.797 v1 231
2655.752 v1 231
2683.653 v1 231
2705.745 v1 231
2727.319 v1 231
2739.714 v1 231
2751.556 v1 231
2764.343 v1 231
2775.219 v1 231
2782.979 v1 231
2792.38 v1 231
2855.893 v1 231
2871.084 v1 231
2364.638 v1 231
1846.134 v1 231
2335.062 v1 231
2286.368 v1 231
1869.761 v1 231
1884.491 v1 231
1901.841 v1 231
1927.518 v1 231
1947.948 v1 231
1966.372 v1 231
1983.371 v1 231
1995.017 v1 231
2006.461 v1 231
2013.847 v1 231
2050.333 v1 231
2067.198 v1 231
2081.91 v1 231
2097.755 v1 231
2114.351 v1 231
2123.607 v1 231
2137.736 v1 231
2152.162 v1 231
2170.005 v1 231
2187.036 v1 231
2201.842 v1 231
2216.83 v1 231
2226.311 v1 231
2234.049 v1 231
2243.032 v1 231
2258.321 v1 231
2269.836 v1 231
2315.987 v1 231
336.982 v1 231
2767.674 v1 232
2785.103 v1 232
2989.504 v1 234
65.46 v1 235
77.923 v1 235
106.051 v1 235
142.247 v1 235
230.805 v1 235
252.524 v1 235
270.695 v1 235
321.528 v1 235
342.729 v1 235
362.531 v1 235
483.019 v1 235
2964.97 v1 234
514.111 v1 235
533.598 v1 235
542.413 v1 235
554.649 v1 235
573.018 v1 235
590.979 v1 235
604.154 v1 235
623.417 v1 235
635.523 v1 235
660.777 v1 235
674.078 v1 235
685.861 v1 235
702.492 v1 235
523.95 v1 235
2954.531 v1 234
2938.244 v1 234
2911.238 v1 234
1862.403 v1 234
1945.84 v1 234
1975.107 v1 234
1987.579 v1 234
2005.726 v1 234
2061.007 v1 234
2088.117 v1 234
2119.569 v1 234
2154.027 v1 234
2188.043 v1 234
2214.782 v1 234
2226.371 v1 234
2269.135 v1 234
2323.526 v1 234
2424.402 v1 234
2440.135 v1 234
2451.566 v1 234
2464.089 v1 234
2565.089 v1 234
2580.321 v1 234
